"";"category";"average"
"24";"Code.Style";0,0254260869565217
"25";"Design";0,0239313043478261
"22";"Error.Prone";0,0232084782608696
"9";"indentation";0,0183036956521739
"28";"Performance";0,0170102173913043
"23";"Documentation";0,0168315217391304
"4";"blocks";0,0163452173913043
"6";"sizes";0,0147817391304348
"3";"checks";0,0141208695652174
"5";"whitespace";0,0120997826086957
"26";"Best.Practices";0,0106189130434783
"11";"coding";0,0105810869565217
"8";"javadoc";0,00938239130434783
"2";"design";0,00852304347826087
"12";"regexp";0,0074604347826087
"1";"imports";0,00715260869565217
"10";"naming";0,0065054347826087
"7";"modifier";0,00353478260869565
"27";"Multithreading";0,0027904347826087
"21";"STYLE";0,00183804347826087
"16";"PERFORMANCE";0,00115369565217391
"17";"BAD_PRACTICE";0,000241304347826087
"19";"I18N";0,000211739130434783
"15";"CORRECTNESS";0,0000780434782608696
"13";"SECURITY";0
"14";"MALICIOUS_CODE";0
"18";"EXPERIMENTAL";0
"20";"MT_CORRECTNESS";0
