"";"category";"average"
"24";"Code.Style";0,0261589655172414
"23";"Documentation";0,0239763793103448
"25";"Design";0,0224831034482759
"22";"Error.Prone";0,0222062068965517
"9";"indentation";0,0184596551724138
"4";"blocks";0,0167046551724138
"28";"Performance";0,0164831034482759
"6";"sizes";0,015316724137931
"8";"javadoc";0,0147489655172414
"3";"checks";0,0138946551724138
"26";"Best.Practices";0,0134286206896552
"5";"whitespace";0,0128484482758621
"11";"coding";0,0110012068965517
"10";"naming";0,00921775862068966
"1";"imports";0,00775793103448276
"12";"regexp";0,00732706896551724
"27";"Multithreading";0,0060998275862069
"2";"design";0,00488310344827586
"7";"modifier";0,00431793103448276
"21";"STYLE";0,00344603448275862
"17";"BAD_PRACTICE";0,00255844827586207
"16";"PERFORMANCE";0,000919827586206897
"19";"I18N";0,000897931034482759
"14";"MALICIOUS_CODE";0,000544827586206897
"13";"SECURITY";0
"15";"CORRECTNESS";0
"18";"EXPERIMENTAL";0
"20";"MT_CORRECTNESS";0
