"";"category";"average"
"24";"Code.Style";0,00759730769230769
"5";"whitespace";0,00747307692307692
"25";"Design";0,00703903846153846
"22";"Error.Prone";0,00698576923076923
"4";"blocks";0,00689769230769231
"28";"Performance";0,00674769230769231
"3";"checks";0,00670596153846154
"8";"javadoc";0,00668557692307692
"11";"coding";0,00632711538461539
"6";"sizes";0,00594173076923077
"23";"Documentation";0,00541173076923077
"10";"naming";0,00500576923076923
"2";"design";0,00475115384615385
"9";"indentation";0,00470173076923077
"1";"imports";0,00458557692307692
"26";"Best.Practices";0,00412692307692308
"17";"BAD_PRACTICE";0,0024225
"7";"modifier";0,00215596153846154
"15";"CORRECTNESS";0,001225
"21";"STYLE";0,00114711538461538
"16";"PERFORMANCE";0,000833269230769231
"20";"MT_CORRECTNESS";0,000436346153846154
"14";"MALICIOUS_CODE";0,000415384615384615
"12";"regexp";0,000310769230769231
"13";"SECURITY";0
"18";"EXPERIMENTAL";0
"19";"I18N";0
"27";"Multithreading";0
