"";"category";"average"
"8";"javadoc";0,00152432432432432
"6";"sizes";0,00110540540540541
"24";"Code.Style";0,000783783783783784
"9";"indentation";0,000748648648648649
"23";"Documentation";0,000613513513513514
"25";"Design";0,000543243243243243
"22";"Error.Prone";0,000527027027027027
"5";"whitespace";0,000513513513513513
"1";"imports";0
"2";"design";0
"3";"checks";0
"4";"blocks";0
"7";"modifier";0
"10";"naming";0
"11";"coding";0
"12";"regexp";0
"13";"SECURITY";0
"14";"MALICIOUS_CODE";0
"15";"CORRECTNESS";0
"16";"PERFORMANCE";0
"17";"BAD_PRACTICE";0
"18";"EXPERIMENTAL";0
"19";"I18N";0
"20";"MT_CORRECTNESS";0
"21";"STYLE";0
"26";"Best.Practices";0
"27";"Multithreading";0
"28";"Performance";0
