"";"category";"average"
"1";"imports";0,00114117647058824
"2";"design";0
"3";"checks";0
"4";"blocks";0
"5";"whitespace";0
"6";"sizes";0
"7";"modifier";0
"8";"javadoc";0
"9";"indentation";0
"10";"naming";0
"11";"coding";0
"12";"regexp";0
"13";"SECURITY";0
"14";"MALICIOUS_CODE";0
"15";"CORRECTNESS";0
"16";"PERFORMANCE";0
"17";"BAD_PRACTICE";0
"18";"EXPERIMENTAL";0
"19";"I18N";0
"20";"MT_CORRECTNESS";0
"21";"STYLE";0
"22";"Error.Prone";0
"23";"Documentation";0
"24";"Code.Style";0
"25";"Design";0
"26";"Best.Practices";0
"27";"Multithreading";0
"28";"Performance";0
