"";"category";"average"
"24";"Code.Style";0,00793254901960784
"22";"Error.Prone";0,00656549019607843
"23";"Documentation";0,0048078431372549
"25";"Design";0,00473313725490196
"9";"indentation";0,00439392156862745
"3";"checks";0,0036678431372549
"2";"design";0,00296
"11";"coding";0,00231274509803922
"8";"javadoc";0,0020021568627451
"28";"Performance";0,00197607843137255
"26";"Best.Practices";0,00173294117647059
"4";"blocks";0,00145843137254902
"6";"sizes";0,00113529411764706
"21";"STYLE";0,00106098039215686
"27";"Multithreading";0,000849019607843137
"12";"regexp";0,000357647058823529
"1";"imports";0,000338235294117647
"17";"BAD_PRACTICE";0,000309019607843137
"5";"whitespace";0,0000784313725490196
"7";"modifier";0,0000784313725490196
"10";"naming";0,0000784313725490196
"13";"SECURITY";0
"14";"MALICIOUS_CODE";0
"15";"CORRECTNESS";0
"16";"PERFORMANCE";0
"18";"EXPERIMENTAL";0
"19";"I18N";0
"20";"MT_CORRECTNESS";0
