"";"category";"average"
"22";"Error.Prone";0,0268731147540984
"24";"Code.Style";0,0248673770491803
"25";"Design";0,0241139344262295
"28";"Performance";0,0207604918032787
"23";"Documentation";0,014396393442623
"9";"indentation";0,0143896721311475
"11";"coding";0,0110913114754098
"4";"blocks";0,0107485245901639
"26";"Best.Practices";0,0103198360655738
"8";"javadoc";0,00905606557377049
"6";"sizes";0,00900901639344262
"5";"whitespace";0,00869540983606557
"10";"naming";0,00732245901639344
"2";"design";0,00663868852459016
"3";"checks";0,00634409836065574
"1";"imports";0,00529459016393443
"12";"regexp";0,00427245901639344
"21";"STYLE";0,00312983606557377
"27";"Multithreading";0,00286770491803279
"17";"BAD_PRACTICE";0,0027844262295082
"19";"I18N";0,00205622950819672
"7";"modifier";0,000954590163934426
"13";"SECURITY";0,000655409836065574
"18";"EXPERIMENTAL";0,000621475409836066
"15";"CORRECTNESS";0,000361967213114754
"16";"PERFORMANCE";0,000106065573770492
"14";"MALICIOUS_CODE";0
"20";"MT_CORRECTNESS";0
